allmb_name	gbif_species_key	num_occurrences	myco_state
Potentilla_diversifolia_var._glaucophylla	5367218	3457	arbuscular
Potentilla_tephroleuca	7936458	20	arbuscular
Potentilla_grisea	5366917	63	arbuscular
Potentilla_vvedenskyi	5365645	2	arbuscular
Potentilla_nordmanniana	5366574	9	arbuscular
Potentilla_pamirica	5366516	518	arbuscular
Potentilla_hyparctica_subsp._elatior	5367620	2945	neither
Potentilla_argenteaeformis	5598299	1	arbuscular
Potentilla_concinna_var._bicrenata	5366180	844	arbuscular
Duchesnea_chrysantha	7631479	2892	arbuscular
Alchemilla_filicaulis	3027485	27136	neither
Alchemilla_glabra	3027640	48022	arbuscular
Alchemilla_vulgaris	7890713	56176	neither
Alchemilla_decumbens	3028988	375	neither
Alchemilla_xanthochlora	3028198	24933	arbuscular
Alchemilla_alpina	3027648	33665	arbuscular
Alchemilla_arvensis	5365013	54962	arbuscular
Alchemilla_glomerulans	3028402	9939	arbuscular
Alchemilla_glaucescens	3027452	25076	arbuscular
Alchemilla_dura	3027514	30	arbuscular
Alchemilla_tirolensis	3027951	19	neither
Alchemilla_persica	3028239	49	arbuscular
Alchemilla_undulata	3028058	236	neither
Alchemilla_sibirica	3028057	68	arbuscular
Alchemilla_rubristipula	3028055	75	neither
Alchemilla_haraldii	3028927	3	arbuscular
Alchemilla_obscura	3028047	83	neither
Alchemilla_subglobosa	7350401	4195	neither
Alchemilla_inconcinna	3028706	127	neither
Alchemilla_debilis	3027888	7	arbuscular
Alchemilla_straminea	3028171	603	neither
Alchemilla_subcrenata	3028176	23037	neither
Alchemilla_versipila	3028566	123	neither
Alchemilla_sinuata	3028061	20	neither
Alchemilla_lineata	3027601	298	neither
Alchemilla_trunciloba	3027764	167	neither
Alchemilla_connivens	3028082	637	neither
Alchemilla_reniformis	3028155	656	neither
Alchemilla_effusa	3028884	570	neither
Alchemilla_strictissima	3027706	2	arbuscular
Alchemilla_caucasica	3028600	47	arbuscular
Alchemilla_strigosula	9630454	388	neither
Alchemilla_smirnovii	3028607	3	arbuscular
Alchemilla_obtusa	3028609	415	neither
Alchemilla_impexa	7560544	217	neither
Alchemilla_sericata	7362772	276	arbuscular
Alchemilla_leiophylla	3028596	102	arbuscular
Alchemilla_lunaria	3027860	88	neither
Alchemilla_monticola	3028763	46613	neither
Sibbaldianthe_bifurca	3000723	1980	arbuscular
Fragaria_viridis	8400458	36851	arbuscular
Dasiphora_fruticosa	5370380	16633	arbuscular
Acaena_novae-zelandiae	5370755	24487	arbuscular
Acaena_ovalifolia	5370651	730	arbuscular
Acaena_minor	5371118	261	neither
Sarcopoterium_spinosum	3001879	5180	arbuscular
Agrimonia_eupatoria	3001956	193231	arbuscular
Rosa_canina	3002461	266825	arbuscular
Rosa_pendulina	3006974	29517	ecto
Rosa_beggeriana	7832083	422	arbuscular
Rosa_spinosissima	3002333	44013	arbuscular
Rosa_persica	8258890	187	arbuscular
Rosa_maximowicziana	3004857	459	arbuscular
Rosa_turcica	3011466	58	arbuscular
Rosa_kokanica	3002657	57	arbuscular
Rubus_ulmifolius	2996929	89938	arbuscular
Rubus_crataegifolius	2999200	3734	neither
Rubus_phoenicolasius	2995149	5556	arbuscular
Rubus_odoratus	2994912	6448	arbuscular
Rubus_fruticosus	2989764	271858	arbuscular
Rubus_sachalinensis	2995606	700	arbuscular
Rubus_bushii	2988642	72	arbuscular
Rubus_hirtus	2989697	4784	arbuscular
Rubus_cissoides	2995581	10019	arbuscular
Rubus_rufus_var._palmatifidus	2995841	166	arbuscular
Geum_urbanum	5369652	347667	arbuscular
Geum_glaciale	5369889	378	neither
Geum_virginianum	5369702	945	arbuscular
Filipendula_vulgaris	2988069	65964	arbuscular
Cercocarpus_ledifolius	8168453	1609	ecto
Purshia_tridentata	5370313	2534	arbuscular
Dryas_punctata	4889932	42860	ecto
Malus_ioensis	3001596	1603	arbuscular
Malus_domestica	3001093	116673	arbuscular
