try_acc_species_id	try_acc_species_name	plant_growth_form	succulent	climber	parasitic	aquatic	epiphyte	crop	palmoid	woodiness
9308	Calamagrostis sajanensis	graminoid								non-woody
9309	Calamagrostis salina	graminoid								non-woody
9310	Calamagrostis scaberula	graminoid								non-woody
9311	Calamagrostis scabrescens	graminoid								non-woody
9312	Calamagrostis scabriflora	graminoid								non-woody
9313	Calamagrostis sclerantha	graminoid								non-woody
9314	Calamagrostis sclerophylla	graminoid								non-woody
9315	Calamagrostis scopulorum	graminoid								non-woody
9316	Calamagrostis scotica	graminoid								non-woody
9317	Calamagrostis sesquiflora	graminoid								non-woody
9318	Calamagrostis setiflora	graminoid								non-woody
9319	Calamagrostis sichuanensis	graminoid								non-woody
9320	Calamagrostis sinelatior	graminoid								non-woody
59994	Calamagrostis smithii	graminoid								non-woody
9321	Calamagrostis spicigera	graminoid								non-woody
9322	Calamagrostis spruceana	graminoid								non-woody
9323	Calamagrostis srilankensis	graminoid								non-woody
9324	Calamagrostis staintonii	graminoid								non-woody
9325	Calamagrostis stenophylla	graminoid								non-woody
9326	Calamagrostis steyermarkii	graminoid								non-woody
9327	Calamagrostis stolizkai	graminoid								non-woody
9328	Calamagrostis stricta	graminoid								non-woody
9329	Calamagrostis subacrochaeta	graminoid								non-woody
9330	Calamagrostis subchalybaea	graminoid								non-woody
9331	Calamagrostis suka	graminoid								non-woody
59986	Calamagrostis talariata	graminoid								non-woody
9332	Calamagrostis tarmensis	graminoid								non-woody
9333	Calamagrostis tashiroi	graminoid								non-woody
9334	Calamagrostis teberdensis	graminoid								non-woody
9335	Calamagrostis teretifolia	graminoid								non-woody
9336	Calamagrostis tianschanica	graminoid								non-woody
9337	Calamagrostis tibetica	graminoid								non-woody
9338	Calamagrostis tolucensis	graminoid								non-woody
9339	Calamagrostis trichodonta	graminoid								non-woody
9340	Calamagrostis turkestanica	graminoid								non-woody
9341	Calamagrostis tweedyi	graminoid								non-woody
9342	Calamagrostis tzvelevii	graminoid								non-woody
9343	Calamagrostis uralensis	graminoid								non-woody
9344	Calamagrostis valida	graminoid								non-woody
9345	Calamagrostis varia	graminoid								non-woody
9346	Calamagrostis velutina	graminoid								non-woody
9347	Calamagrostis veresczaginii	graminoid								non-woody
9348	Calamagrostis vicunarum	graminoid								non-woody
9349	Calamagrostis villosa	graminoid								non-woody
9350	Calamagrostis violacea	graminoid								non-woody
9351	Calamagrostis viridiflavescens	graminoid								non-woody
9352	Calamagrostis viridis	graminoid								non-woody
9353	Calamagrostis vulcanica	graminoid								non-woody
9354	Calamagrostis yanyuanensis	graminoid								non-woody
9355	Calamagrostis youngii	graminoid								non-woody
9356	Calamagrostis zangxiensis	graminoid								non-woody
9357	Calamagrostis zenkeri	graminoid								non-woody
9359	Calamintha alpina	herb								non-woody
9364	Calamintha nepeta	herb/shrub								non-woody/woody
9366	Calamintha sylvatica	herb								non-woody
9367	Calammophila baltica	graminoid								non-woody
9368	Calamovilfa arcuata	graminoid								non-woody
9369	Calamovilfa brevipilis	graminoid								non-woody
9370	Calamovilfa curtissii	graminoid								non-woody
9371	Calamovilfa gigantea	graminoid								non-woody
9372	Calamovilfa longifolia	graminoid								non-woody
66201	Calamus asperrimus									woody
9373	Calamus australis	tree							palmoid	woody
9374	Calamus brandisii									woody
9375	Calamus caryotoides	tree							palmoid	woody
9376	Calamus castaneus	tree							palmoid	woody
9377	Calamus ciliaris	tree							palmoid	woody
66202	Calamus conirostris									woody
9378	Calamus deerratus									woody
9379	Calamus dransfieldii									woody
66203	Calamus elopurensis									woody
9380	Calamus erectus	tree							palmoid	woody
9381	Calamus faberi	tree							palmoid	woody
9382	Calamus gamblei									woody
66204	Calamus gonospermus									woody
64279	Calamus heteroideus	tree							palmoid	woody
66205	Calamus hispidulus									woody
9383	Calamus hookerianus									woody
9384	Calamus javensis			climber					palmoid	woody
9385	Calamus karnatakensis									woody
9386	Calamus lacciferus									woody
9387	Calamus lakshmanae									woody
9388	Calamus manan									woody
66206	Calamus marginatus									woody
66207	Calamus merrillii									woody
9389	Calamus metzianus									woody
9390	Calamus moti	tree							palmoid	woody
9391	Calamus muelleri			climber						woody
66208	Calamus muricatus									woody
72491	Calamus myriacanthus									woody
9392	Calamus nagbettai									woody
66209	Calamus nambariensis									woody
66210	Calamus optimus									woody
9393	Calamus oxleyanus									woody
66211	Calamus paspalanthus									woody
9394	Calamus perakensis	tree							palmoid	woody
66212	Calamus pogonacanthus									woody
66213	Calamus praetermissus									woody
9395	Calamus pseudo-tenuis									woody
9396	Calamus radicalis									woody
9397	Calamus rhabdocladus	tree							palmoid	woody
9398	Calamus rotang									woody
9399	Calamus sarawakensis	tree							palmoid	woody
9400	Calamus scipionum									woody
9401	Calamus simplicifolius	tree							palmoid	woody
9403	Calamus stoloniferus									woody
9404	Calamus strictus	tree							palmoid	woody
9405	Calamus tenuis									woody
9406	Calamus thwaitesii									woody
9407	Calamus thysanolepis									woody
9408	Calamus travancoricus									woody
9409	Calamus vattayila									woody
66214	Calamus zonatus									woody
9410	Calandrinia acaulis	herb								non-woody
9411	Calandrinia ambigua	herb								non-woody
9412	Calandrinia balonensis	herb								non-woody
9413	Calandrinia cachinalensis	herb								non-woody
9414	Calandrinia calyptrata	herb								non-woody
9415	Calandrinia ciliata	herb								non-woody
9416	Calandrinia corrigioloides	herb								non-woody
9417	Calandrinia eremaea	herb								non-woody
9418	Calandrinia feltonii	herb								non-woody
9422	Calandrinia maritima	herb								non-woody
9424	Calandrinia polyandra	herb								non-woody
66216	Calandrinia ptychosperma	herb								non-woody
66217	Calandrinia pumila	herb								non-woody
66218	Calandrinia remota	herb								non-woody
66219	Calandrinia stagnensis	herb								non-woody
66220	Calandrinia uniflora	herb								non-woody
9425	Calanthe discolor	herb								non-woody
9427	Calanthe sylvatica	herb								non-woody
9428	Calanthe triplicata	herb								non-woody
9429	Calantica cerasifolia									woody
9430	Calathea altissima	herb								non-woody
9431	Calathea inocephala	herb								non-woody
9432	Calathea insignis	herb								non-woody
9433	Calathea lutea	herb								non-woody
9434	Calathea majestica	herb								non-woody
9435	Calathea ovandensis	herb								non-woody
9437	Calatola columbiana	tree								woody
9438	Calatola costaricensis	tree								woody
9439	Calatola laevigata	tree								woody
59996	Calatola microcarpa	tree								woody
9442	Calatola venezuelana	tree								woody
66221	Calceolaria andina	herb								non-woody
9443	Calceolaria arachnoidea	herb								non-woody
66222	Calceolaria ascendens	herb								non-woody
9445	Calceolaria biflora	herb								non-woody
9447	Calceolaria chubutensis	herb								non-woody
9450	Calceolaria herbeohybrida	herb								non-woody
9451	Calceolaria hybrida	herb/shrub								non-woody/woody
9453	Calceolaria lanceolata	herb								non-woody
9458	Calceolaria polyrhiza	herb/shrub								non-woody/woody
9459	Calceolaria polyrrhiza	herb								non-woody
9460	Calceolaria psammophila	herb								non-woody
9464	Calceolaria volckmannii	herb								non-woody
9465	Caldcluvia australiensis	tree								woody
9466	Caldcluvia brassii	tree								woody
9467	Caldcluvia celebica	tree								woody
59998	Caldcluvia myriantha	shrub/tree								woody
9468	Caldcluvia paniculata	tree								woody
9469	Caldcluvia paniculosa	tree								woody
9470	Caldcluvia papuana	tree								woody
9471	Caldcluvia rosifolia									woody
9473	Calderonella sylvatica	graminoid								non-woody
9474	Caldesia parnassifolia	herb				aquatic				non-woody
9475	Calea lucidivenia	herb								non-woody
9476	Calea prunifolia	shrub								woody
9477	Calea serrata	herb		climber						non-woody
9478	Calea ternifolia	herb								non-woody
9479	Calea uniflora	shrub								woody
9480	Calea urticaefolia	herb								non-woody
9481	Caleana major	herb								non-woody
9482	Calendula arvensis	herb								non-woody
9484	Calendula officinalis	herb								non-woody
9487	Calepina irregularis	herb								non-woody
9490	Calicotome spinosa	shrub								woody
9491	Calicotome villosa	shrub								woody
9492	Calla palustris	herb								non-woody
9496	Calliandra angustifolia	shrub								woody
9499	Calliandra calothyrsus	tree								woody
9501	Calliandra conferta	shrub								woody
9502	Calliandra dysantha	tree								woody
9503	Calliandra eriophylla	shrub								woody
9505	Calliandra guildingii	tree								woody
9506	Calliandra haematocephala	shrub								woody
66250	Calliandra laxa									woody
9508	Calliandra paniculata	tree								woody
59993	Calliandra spSugden	tree								woody
9510	Calliandra tenuiflora	tree								woody
9511	Calliandra trinervia	tree								woody
9512	Calliandra tweediei									woody
9513	Calliandra tweedii	shrub								woody
9515	Callicarpa americana	shrub								woody
9516	Callicarpa arborea									woody
9520	Callicarpa ferruginea	shrub								woody
9521	Callicarpa furfuracea									woody
9522	Callicarpa japonica									woody
9524	Callicarpa longifolia									woody
9525	Callicarpa macrophylla									woody
9526	Callicarpa mollis									woody
9527	Callicarpa pedunculata									woody
9528	Callicarpa pentandra	tree								woody
9530	Callicarpa tomentosa									woody
9532	Callichilia orientalis	shrub								woody
9534	Callichlamys latifolia			climber						woody
9536	Callicoma serratifolia	tree								woody
9537	Calligonum aphyllum	shrub								woody
9540	Calligonum comosum	shrub								woody
9541	Calligonum ebi-nuricum	shrub								woody
9542	Calligonum gobicum	shrub								woody
9543	Calligonum junceum	shrub								woody
9544	Calligonum leucocladum	shrub								woody
62418	Calligonum litwinowii	herb								non-woody
59979	Calligonum mongolica	shrub								woody
9545	Calligonum mongolicum	shrub								woody
9547	Calligonum polygonoides	shrub								woody
9548	Calligonum pumilum	shrub								woody
9549	Calligonum rigidum	shrub								woody
9550	Calligonum roborowskii	shrub								woody
9551	Calligonum turbineum	shrub								woody
9552	Callipeltis aperta	shrub								woody
9553	Callipeltis cucullaria	herb								non-woody
9555	Callirhoe involucrata	herb								non-woody
9558	Callistemon acuminatus									woody
66255	Callistemon brachyandrus	shrub								woody
9559	Callistemon citrinus	shrub								woody
9560	Callistemon comboynensis	shrub								woody
9561	Callistemon flavovirens	shrub								woody
66256	Callistemon kenmorrisonii	shrub								woody
9562	Callistemon lanceolatus	shrub								woody
9563	Callistemon linearifolius	shrub								woody
9564	Callistemon linearis	shrub								woody
9565	Callistemon macropunctatus	shrub								woody
9566	Callistemon montanus	shrub								woody
72688	Callistemon nyallingensis	shrub								woody
9567	Callistemon pachyphyllus	shrub								woody
9568	Callistemon pallidus	shrub								woody
9569	Callistemon phoeniceus	shrub								woody
9570	Callistemon pinifolius	shrub								woody
9571	Callistemon pityoides	shrub								woody
9572	Callistemon polandii	shrub								woody
9573	Callistemon pungens	shrub								woody
9574	Callistemon rigidus	shrub								woody
9575	Callistemon rugulosus	shrub								woody
9576	Callistemon salignus	shrub								woody
9577	Callistemon shiressii									woody
9578	Callistemon sieberi	shrub								woody
9580	Callistemon subulatus	shrub								woody
66257	Callistemon teretifolius	shrub								woody
9581	Callistemon viminalis	shrub								woody
9582	Callistemon viridiflorus	shrub								woody
9583	Callistephus chinensis	herb								non-woody
9585	Callisthene fasciculata	tree								woody
9586	Callisthene major	tree								woody
9588	Callitriche antarctica	herb								non-woody
9589	Callitriche aquatica	herb								non-woody
9590	Callitriche autumnalis	herb								non-woody
9591	Callitriche brutia	herb								non-woody
9592	Callitriche cophocarpa	herb								non-woody
9593	Callitriche hamulata	herb				aquatic				non-woody
9594	Callitriche hermaphroditica	herb								non-woody
9595	Callitriche heterophylla	herb								non-woody
9596	Callitriche obtusangula	herb								non-woody
9597	Callitriche palustris	herb								non-woody
9598	Callitriche pedunculata	herb								non-woody
9599	Callitriche platycarpa	herb				aquatic				non-woody
9601	Callitriche stagnalis	herb				aquatic				non-woody
9602	Callitriche truncata	herb								non-woody
9603	Callitris canescens	tree								woody
9604	Callitris columellaris	tree								woody
9605	Callitris drummondii	tree								woody
9606	Callitris endlicheri	tree								woody
9607	Callitris glaucophylla	tree								woody
9608	Callitris hugelii	shrub								woody
9609	Callitris intratropica	tree								woody
9610	Callitris macleayana	tree								woody
9611	Callitris monticola	tree								woody
9612	Callitris muelleri	tree								woody
9613	Callitris oblonga	tree								woody
9614	Callitris preissii	tree								woody
9615	Callitris rhomboidea	tree								woody
9616	Callitris roei	tree								woody
9618	Callitris tuberculata	tree								woody
9619	Callitris verrucosa	tree								woody
9621	Calluna vulgaris	shrub								woody
9622	Calocedrus decurrens	tree								woody
9623	Calocedrus formosana	tree								woody
9624	Calocedrus macrolepis	tree								woody
9627	Calocephalus platycephalus	herb								non-woody
9628	Calochilus campestris	herb								non-woody
9629	Calochilus gracillimus	herb								non-woody
9630	Calochilus paludosus	herb								non-woody
9631	Calochilus robertsonii	herb								non-woody
9632	Calochlaena dubia	fern								non-woody
9633	Calochortus albus	herb								non-woody
9634	Calochortus aureus	herb								non-woody
9635	Calochortus catalinae	herb								non-woody
9636	Calochortus clavatus	herb								non-woody
9637	Calochortus concolor	herb								non-woody
9638	Calochortus eurycarpus	herb								non-woody
66262	Calochortus flexuosus	herb								non-woody
9639	Calochortus luteus	herb								non-woody
64280	Calochortus macrocarpus	herb								non-woody
9640	Calochortus monophyllus	herb								non-woody
9641	Calochortus nudus	herb								non-woody
66263	Calochortus nuttallii	herb								non-woody
9642	Calochortus obispoensis	herb								non-woody
9643	Calochortus pulchellus	herb								non-woody
9644	Calochortus splendens	herb								non-woody
9645	Calochortus superbus	herb								non-woody
9646	Calochortus tiburonensis	herb								non-woody
66264	Calochortus tolmiei	herb								non-woody
9647	Calochortus venustus	herb								non-woody
9648	Calochortus weedii	herb								non-woody
9649	Calodendrum capense	tree								woody
9652	Caloncoba brevipes									woody
9653	Caloncoba glauca									woody
9655	Caloncoba suffruticosa	shrub								woody
9656	Caloncoba welwitschii	tree								woody
9659	Calophyllum angulare	tree								woody
64281	Calophyllum antillanum	shrub/tree								woody
9660	Calophyllum australianum	tree								woody
9661	Calophyllum austrocoriaceum	tree								woody
9662	Calophyllum blancoi	tree								woody
9663	Calophyllum brasiliense	tree								woody
9664	Calophyllum brassii	tree								woody
9665	Calophyllum calaba	tree								woody
9666	Calophyllum canum	tree								woody
9667	Calophyllum congestiflorum	tree								woody
9668	Calophyllum costatum	tree								woody
9669	Calophyllum dasypodium	tree								woody
9670	Calophyllum dioscurii	tree								woody
9671	Calophyllum drouhardi	tree								woody
9672	Calophyllum dryobalanoides	tree								woody
9673	Calophyllum elatum	tree								woody
9674	Calophyllum flavo-ramulum	tree								woody
9675	Calophyllum floribundum	tree								woody
9676	Calophyllum foetidum	tree								woody
9677	Calophyllum grandiflorum	tree								woody
9678	Calophyllum inophylloide	tree								woody
9679	Calophyllum inophyllum	tree								woody
9680	Calophyllum kajewskii	tree								woody
9681	Calophyllum kunstleri	tree								woody
9682	Calophyllum lanigerum	tree								woody
9683	Calophyllum leucocarpum	tree								woody
9684	Calophyllum longifolium	tree								woody
9685	Calophyllum lucidum	tree								woody
9686	Calophyllum macrocarpum	tree								woody
9687	Calophyllum mariae	tree								woody
9688	Calophyllum membranaceum	tree								woody
9689	Calophyllum molle	tree								woody
9690	Calophyllum neo-ebudicum	tree								woody
9691	Calophyllum nodosum	tree								woody
9692	Calophyllum nubicola	tree								woody
9693	Calophyllum obliquinervium	tree								woody
9694	Calophyllum papuanum	tree								woody
9695	Calophyllum parviflorum	tree								woody
9696	Calophyllum parvifolium	tree								woody
9698	Calophyllum polyanthum	tree								woody
9699	Calophyllum prainianum	tree								woody
9700	Calophyllum pulcherrimum	tree								woody
9701	Calophyllum recurvatum	tree								woody
9702	Calophyllum retusum	tree								woody
9703	Calophyllum rigidum	tree								woody
9704	Calophyllum rubiginosum	tree								woody
9705	Calophyllum saigonense	tree								woody
9706	Calophyllum samoense	tree								woody
9707	Calophyllum sclerophyllum	tree								woody
9708	Calophyllum soulattri	tree								woody
9710	Calophyllum spectabile	tree								woody
9711	Calophyllum tetrapterum	tree								woody
9712	Calophyllum teysmannii	tree								woody
9713	Calophyllum tomentosum	tree								woody
9714	Calophyllum venulosum	tree								woody
9715	Calophyllum vitiense	tree								woody
9716	Calophyllum wallichiana	tree								woody
9717	Calophyllum wallichianum	tree								woody
9718	Calophyllum waworoentii	tree								woody
9719	Calophyllum wightianum	tree								woody
9720	Calopogon pulchellus	herb								non-woody
9721	Calopogonium caeruleum	shrub								woody
9722	Calopogonium mucunoides			climber						
9724	Calopsis paniculata	herb								non-woody
9725	Calopyxis malifolia									woody
9726	Calostemma purpureum	herb								non-woody
9727	Calothamnus affinis	shrub								woody
66269	Calothamnus asper	shrub								woody
9728	Calothamnus brevifolius	shrub								woody
66270	Calothamnus chrysantherus	shrub								woody
9729	Calothamnus crassus	shrub								woody
9730	Calothamnus formosus	shrub								woody
9731	Calothamnus gilesii	shrub								woody
66271	Calothamnus gracilis	shrub								woody
9732	Calothamnus graniticus	shrub								woody
66272	Calothamnus hirsutus	shrub								woody
9733	Calothamnus homalophyllus	shrub								woody
66273	Calothamnus macrocarpus	shrub								woody
9734	Calothamnus microcarpus	shrub								woody
9735	Calothamnus oldfieldii	shrub								woody
9736	Calothamnus pachystachyus	shrub								woody
66274	Calothamnus pinifolius	shrub								woody
9737	Calothamnus quadrifidus	shrub								woody
9738	Calothamnus robustus	shrub								woody
9739	Calothamnus rupestris	shrub								woody
9740	Calothamnus sanguineus	shrub								woody
9742	Calothamnus tuberosus	shrub								woody
9743	Calothamnus validus	shrub								woody
9745	Calotis cuneifolia	herb								non-woody
9746	Calotis dentex	herb/shrub								non-woody/woody
9747	Calotis erinacea	herb/shrub								non-woody/woody
9749	Calotis hispidula	herb								non-woody
9750	Calotis inermis	herb								non-woody
9751	Calotis lappulacea	herb								non-woody
9752	Calotis latiuscula	herb								non-woody
9754	Calotis plumulifera	herb								non-woody
9755	Calotis squamigera	herb								non-woody
9756	Calotropis gigantea	tree								woody
9757	Calotropis procera	tree								woody
9759	Calpocalyx brevibracteatus	tree								woody
9761	Calpocalyx heitzii									woody
9762	Calpocalyx klainei									woody
9764	Calpurnia aurea	shrub/tree								woody
9766	Caltha leptosepala	herb								non-woody
9768	Caltha palustris	herb								non-woody
66279	Caltha sagittata	herb								non-woody
9769	Calycadenia multiglandulosa	herb								non-woody
9770	Calycadenia oppositifolia	herb								non-woody
9771	Calycadenia pauciflora	herb								non-woody
9773	Calycadenia truncata	herb								non-woody
9774	Calycanthus fertilis									woody
9775	Calycanthus floridus	shrub								woody
9776	Calycanthus mohrii									woody
9777	Calycanthus occidentalis	shrub								woody
9779	Calycera pulvinata	herb								non-woody
9780	Calycobolus sericeus	shrub		climber						woody
64283	Calycocarpum lyonii			climber						
9781	Calycocorsus stipitatus	herb								non-woody
9783	Calycogonium squamulosum	tree								woody
9784	Calycolpus glaber									woody
9785	Calycolpus goetheanus									woody
9787	Calycolpus warscewiczianus	tree								woody
9788	Calycolpus warszewiczianus	tree								woody
9790	Calycopeplus collinus	shrub								woody
9791	Calycophyllum acreanum	tree								woody
9792	Calycophyllum candidissimum	tree								woody
9793	Calycophyllum multiflorum									woody
9795	Calycophyllum spruceanum	tree								woody
9796	Calycophysum pedunculatum			climber						non-woody
9797	Calycopteris floribunda									woody
9798	Calycorectes acutatus									woody
9799	Calycorectes bergii	tree								woody
66285	Calydorea chilensis	herb								non-woody
66286	Calydorea xyphioides	herb								non-woody
9802	Calypso bulbosa	herb								non-woody
9803	Calyptochloa gracillima	graminoid								non-woody
9804	Calyptranthes bipennis	tree								woody
9805	Calyptranthes chytraculia	tree								woody
9806	Calyptranthes clusiaefolia									woody
9807	Calyptranthes concinna	tree								woody
9808	Calyptranthes densiflora	tree								woody
9809	Calyptranthes forsteri									woody
72689	Calyptranthes gigante									woody
72690	Calyptranthes grancauli									woody
9810	Calyptranthes grandifolia									woody
72691	Calyptranthes graneschweil									woody
9811	Calyptranthes lanceolata	tree								woody
9812	Calyptranthes longifolia	tree								woody
72692	Calyptranthes loraine									woody
9813	Calyptranthes lucida	tree								woody
9814	Calyptranthes macrophylla									woody
72693	Calyptranthes monteverdensis									woody
9815	Calyptranthes multiflora	tree								woody
9816	Calyptranthes pallens	tree								woody
9817	Calyptranthes paniculata	tree								woody
72694	Calyptranthes pelopalida									woody
66290	Calyptranthes plicata									woody
9818	Calyptranthes portoricensis									woody
72695	Calyptranthes pseudospeciosa									woody
72696	Calyptranthes punctote									woody
72697	Calyptranthes punteada									woody
9819	Calyptranthes rigida	tree								woody
66291	Calyptranthes ruiziana									woody
9820	Calyptranthes schiedeana	tree								woody
72698	Calyptranthes sedosa									woody
9821	Calyptranthes simulata									woody
9823	Calyptranthes speciosa	tree								woody
9824	Calyptranthes syzygium									woody
9825	Calyptranthes zuzygium	tree								woody
9826	Calyptridium monandrum	herb								non-woody
9827	Calyptridium quadripetalum	herb								non-woody
9828	Calyptridium umbellatum	herb								non-woody
9829	Calyptrochilum christyanum	herb								non-woody
9830	Calyptrogyne costatifrons	tree							palmoid	woody
9832	Calyptronoma occidentalis	tree							palmoid	woody
9833	Calystegia hederacea	herb								non-woody
9835	Calystegia macrostegia	shrub								woody
9837	Calystegia occidentalis	herb/shrub								non-woody/woody
9840	Calystegia pulchra	herb		climber						non-woody
9841	Calystegia purpurata	herb/shrub								non-woody/woody
9842	Calystegia sepium	herb		climber						non-woody
9843	Calystegia silvatica	herb		climber						non-woody
9844	Calystegia soldanella	herb								non-woody
9845	Calystegia tuguriorum			climber						
9846	Calytrix achaeta	shrub								woody
9847	Calytrix alpestris	shrub								woody
9848	Calytrix brownii	shrub								woody
9849	Calytrix exstipulata	shrub								woody
9850	Calytrix flavescens	shrub								woody
66293	Calytrix glaberrima	shrub								woody
66294	Calytrix gypsophila	shrub								woody
66295	Calytrix involucrata	shrub								woody
66296	Calytrix platycheiridia	shrub								woody
66297	Calytrix smeatoniana	shrub								woody
9852	Calytrix strigosa									woody
9853	Calytrix superba									woody
9854	Calytrix tetragona	shrub								woody
9855	Camassia biflora	herb								non-woody
9856	Camassia esculenta	herb								non-woody
9857	Camassia leichtlinii	herb								non-woody
9858	Camassia quamash	herb								non-woody
9859	Camassia scilloides	herb								non-woody
9860	Camelina alyssum	herb								non-woody
9861	Camelina dentata	herb								non-woody
9864	Camelina microcarpa	herb								non-woody
9865	Camelina rumelica	herb								non-woody
9866	Camelina sativa	herb								non-woody
9871	Camellia chinensis									woody
9874	Camellia cuspidata	shrub								woody
9876	Camellia drupifera	shrub								woody
9877	Camellia elongata	shrub								woody
9879	Camellia fraterna	tree								woody
9881	Camellia gigantocarpa	tree								woody
9885	Camellia japonica	shrub/tree								woody
9887	Camellia lanceolata									woody
9894	Camellia oleifera	shrub/tree								woody
66298	Camellia oleosa									woody
9898	Camellia reticulata	tree								woody
9900	Camellia saluenensis									woody
9901	Camellia sasanqua	shrub								woody
9903	Camellia sinensis	shrub/tree								woody
9910	Camellia yunnanensis	tree								woody
9913	Camissonia bistorta	herb								non-woody
9915	Camissonia brevipes	herb								non-woody
9916	Camissonia californica	herb								non-woody
9917	Camissonia cheiranthifolia	herb								non-woody
9918	Camissonia claviformis	herb								non-woody
9919	Camissonia contorta	herb								non-woody
9920	Camissonia dentata	herb								non-woody
9921	Camissonia hirtella	herb								non-woody
9924	Camissonia lacustris	herb								non-woody
9925	Camissonia micrantha	herb								non-woody
9926	Camissonia ovata	herb								non-woody
9927	Camissonia palmeri	herb								non-woody
9928	Camissonia tanacetifolia	herb								non-woody
9929	Camissonia walkeri	herb								non-woody
9930	Campanula alliariifolia	herb								non-woody
9931	Campanula alpina	herb								non-woody
9932	Campanula americana	herb								non-woody
64284	Campanula aparinoides	herb								non-woody
9933	Campanula barbata	herb								non-woody
9934	Campanula baumgartenii	herb								non-woody
9935	Campanula biebersteiniana	herb								non-woody
9936	Campanula bononiensis	herb								non-woody
9937	Campanula californica	herb								non-woody
62431	Campanula calycantha	herb								non-woody
9939	Campanula carpatica	herb								non-woody
9940	Campanula cenisia									non-woody
9941	Campanula cervicaria	herb								non-woody
9942	Campanula cochlearifolia	herb								non-woody
9943	Campanula cochleariifolia	herb								non-woody
64285	Campanula collina	herb								non-woody
9944	Campanula drabifolia	herb								non-woody
9949	Campanula glomerata	herb								non-woody
9953	Campanula latifolia	herb								non-woody
9956	Campanula medium	herb								non-woody
9957	Campanula patula	herb								non-woody
9959	Campanula persicifolia	herb								non-woody
9963	Campanula prenanthoides	herb								non-woody
9965	Campanula punctata	herb								non-woody
9967	Campanula rapunculoides	herb								non-woody
9968	Campanula rapunculus	herb								non-woody
9969	Campanula rhomboidalis	herb								non-woody
9970	Campanula rotundifolia	herb								non-woody
9971	Campanula scheuchzeri	herb								non-woody
9973	Campanula scouleri	herb								non-woody
9974	Campanula sibirica	herb								non-woody
9977	Campanula spicata	herb								non-woody
9979	Campanula thyrsoides	herb								non-woody
9980	Campanula trachelium	herb								non-woody
9982	Campanula tridentata	herb								non-woody
64286	Campanulastrum americanum	herb								non-woody
9987	Camphorosma lessingii	shrub								woody
9989	Camphorosma monspeliacum	shrub								woody
9991	Campnosperma auriculata	tree								woody
9992	Campnosperma brevipetiolata	tree								woody
9993	Campnosperma coriaceum	tree								woody
9994	Campnosperma gummifera	tree								woody
9995	Campnosperma macrophylla	tree								woody
9996	Campnosperma minus	tree								woody
9997	Campnosperma panamensis	tree								woody
9999	Campnosperma squamatum	tree								woody
10000	Campnosperma zeylanica	tree								woody
10001	Campomanesia aromatica	tree								woody
10002	Campomanesia aurea	shrub								woody
66316	Campomanesia espiritosantensis									woody
10003	Campomanesia eugenioides									woody
10004	Campomanesia grandiflora									woody
10005	Campomanesia guaviroba	tree								woody
10006	Campomanesia lineatifolia	tree								woody
10007	Campomanesia maschalantha									woody
10008	Campomanesia neriiflora									woody
10009	Campomanesia rufa									woody
10010	Campomanesia xanthocarpa									woody
10011	Campsiandra angustifolia	tree								woody
10012	Campsiandra comosa									woody
10014	Campsis radicans			climber						woody
62436	Camptolepis grandiflora									woody
10016	Camptostemon philippinense	tree								woody
10017	Camptostemon schultzii	tree								woody
10018	Camptostylus mannii									woody
10019	Camptotheca acuminata	tree								woody
10021	Campylocentrum micranthum	herb					epiphyte			non-woody
10023	Campyloneurum brevifolium	fern								non-woody
10024	Campylospermum elongatum	shrub/tree								woody
10025	Campylostemon angolense	shrub		climber						woody
64287	Canadanthus modestus	herb								non-woody
10027	Cananga latifolia	tree								woody
10028	Cananga odorata	tree								woody
10030	Canangium odoratum									woody
10032	Canarina eminii	herb								non-woody
10033	Canarium acutifolium	tree								woody
10034	Canarium album	tree								woody
10035	Canarium apertum	tree								woody
10036	Canarium asperum	tree								woody
10037	Canarium australasicum	tree								woody
10038	Canarium australianum	tree								woody
10039	Canarium balsamiferum	tree								woody
10040	Canarium bengalense	tree								woody
62440	Canarium boivini	tree								woody
10041	Canarium caudatum	tree								woody
10042	Canarium commune	tree								woody
10043	Canarium copaliferum	tree								woody
10044	Canarium decumanum	tree								woody
10045	Canarium denticulatum	tree								woody
10046	Canarium dichotomum	tree								woody
10047	Canarium euphyllum	tree								woody
10048	Canarium fissistipulum	tree								woody
10049	Canarium hirsutum	tree								woody
10050	Canarium indicum	tree								woody
10051	Canarium intermedium	tree								woody
10052	Canarium karoense	tree								woody
10053	Canarium lian	tree								woody
10054	Canarium littorale	tree								woody
10055	Canarium luzonicum	tree								woody
10056	Canarium madagascariense	tree								woody
10057	Canarium maluense	tree								woody
10058	Canarium megalanthum	tree								woody
10059	Canarium mehenbethene	tree								woody
10060	Canarium muelleri	tree								woody
10061	Canarium odontophyllum	tree								woody
60015	Canarium odoratum	tree								woody
10062	Canarium oleosum	tree								woody
10063	Canarium ovatum									woody
10064	Canarium patentinervium	tree								woody
10065	Canarium pilosum	tree								woody
10066	Canarium pimela	tree								woody
10067	Canarium pseudo-decumanum	tree								woody
10068	Canarium pseudopatentinervium	tree								woody
10069	Canarium pseudosumatranum	tree								woody
10070	Canarium quadrangulare	tree								woody
10071	Canarium rufum	tree								woody
10072	Canarium samoense	tree								woody
10073	Canarium schweinfurthii	tree								woody
10074	Canarium schweinfurtii	tree								woody
